task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
gender,logistic_regression,0.75,89,114,F,F,65
gender,logistic_regression,0.75,89,114,F,M,6
gender,logistic_regression,0.75,89,114,M,F,14
gender,logistic_regression,0.75,89,114,M,M,57
gender,random_forest,0.75,89,114,F,F,60
gender,random_forest,0.75,89,114,F,M,11
gender,random_forest,0.75,89,114,M,F,9
gender,random_forest,0.75,89,114,M,M,62
gender,hist_gradient_boosting,0.75,89,114,F,F,60
gender,hist_gradient_boosting,0.75,89,114,F,M,11
gender,hist_gradient_boosting,0.75,89,114,M,F,22
gender,hist_gradient_boosting,0.75,89,114,M,M,49
gender,mlp,0.75,89,114,F,F,58
gender,mlp,0.75,89,114,F,M,13
gender,mlp,0.75,89,114,M,F,7
gender,mlp,0.75,89,114,M,M,64
gender,logistic_regression,1.0,13,152,F,F,61
gender,logistic_regression,1.0,13,152,F,M,10
gender,logistic_regression,1.0,13,152,M,F,11
gender,logistic_regression,1.0,13,152,M,M,60
gender,random_forest,1.0,13,152,F,F,60
gender,random_forest,1.0,13,152,F,M,11
gender,random_forest,1.0,13,152,M,F,7
gender,random_forest,1.0,13,152,M,M,64
gender,hist_gradient_boosting,1.0,13,152,F,F,57
gender,hist_gradient_boosting,1.0,13,152,F,M,14
gender,hist_gradient_boosting,1.0,13,152,M,F,25
gender,hist_gradient_boosting,1.0,13,152,M,M,46
gender,mlp,1.0,13,152,F,F,62
gender,mlp,1.0,13,152,F,M,9
gender,mlp,1.0,13,152,M,F,7
gender,mlp,1.0,13,152,M,M,64
gender,logistic_regression,1.0,21,152,F,F,61
gender,logistic_regression,1.0,21,152,F,M,10
gender,logistic_regression,1.0,21,152,M,F,11
gender,logistic_regression,1.0,21,152,M,M,60
gender,random_forest,1.0,21,152,F,F,62
gender,random_forest,1.0,21,152,F,M,9
gender,random_forest,1.0,21,152,M,F,5
gender,random_forest,1.0,21,152,M,M,66
gender,hist_gradient_boosting,1.0,21,152,F,F,56
gender,hist_gradient_boosting,1.0,21,152,F,M,15
gender,hist_gradient_boosting,1.0,21,152,M,F,15
gender,hist_gradient_boosting,1.0,21,152,M,M,56
gender,mlp,1.0,21,152,F,F,57
gender,mlp,1.0,21,152,F,M,14
gender,mlp,1.0,21,152,M,F,11
gender,mlp,1.0,21,152,M,M,60
