epsilon,delta,sensitivity,dp_seed,split,metric,k,value
100.0,1e-05,1.0,13,train,absolute_delta_mean,,0.07620773999037941
100.0,1e-05,1.0,13,train,absolute_delta_std,,0.057583274438040385
100.0,1e-05,1.0,13,train,absolute_delta_min,,4.7925859689712524e-06
100.0,1e-05,1.0,13,train,absolute_delta_max,,0.41497558169066906
100.0,1e-05,1.0,13,train,original_norm_mean,,0.43547167974391526
100.0,1e-05,1.0,13,train,original_norm_std,,0.05032881173774303
100.0,1e-05,1.0,13,train,original_norm_min,,0.3358296564388482
100.0,1e-05,1.0,13,train,original_norm_max,,0.608395872683312
100.0,1e-05,1.0,13,train,private_norm_mean,,1.9235437422580235
100.0,1e-05,1.0,13,train,private_norm_std,,0.06865780600265471
100.0,1e-05,1.0,13,train,private_norm_min,,1.704689640418309
100.0,1e-05,1.0,13,train,private_norm_max,,2.136892596966127
100.0,1e-05,1.0,13,train,relative_l2_distance_mean,,4.351128619959154
100.0,1e-05,1.0,13,train,relative_l2_distance_std,,0.5122491941740723
100.0,1e-05,1.0,13,train,relative_l2_distance_min,,3.0691589683422276
100.0,1e-05,1.0,13,train,relative_l2_distance_max,,5.9962512396435645
100.0,1e-05,1.0,13,train,private_to_original_norm_ratio_mean,,4.470187889903005
100.0,1e-05,1.0,13,train,private_to_original_norm_ratio_std,,0.49293417797473604
100.0,1e-05,1.0,13,train,private_to_original_norm_ratio_min,,3.2905220878935038
100.0,1e-05,1.0,13,train,private_to_original_norm_ratio_max,,6.0731468379922
100.0,1e-05,1.0,13,train,neighbor_overlap,5,0.08026315789473684
100.0,1e-05,1.0,13,train,neighbor_overlap,10,0.10921052631578948
100.0,1e-05,1.0,13,train,neighbor_overlap,20,0.1713815789473684
100.0,1e-05,1.0,13,test,cosine_mean,,0.23098652183911042
100.0,1e-05,1.0,13,test,cosine_std,,0.059089889040801445
100.0,1e-05,1.0,13,test,cosine_min,,0.07331540967684175
100.0,1e-05,1.0,13,test,cosine_max,,0.4480707275642724
100.0,1e-05,1.0,13,test,l2_distance_mean,,1.865177181002445
100.0,1e-05,1.0,13,test,l2_distance_std,,0.06465873439294378
100.0,1e-05,1.0,13,test,l2_distance_min,,1.7010383867191547
100.0,1e-05,1.0,13,test,l2_distance_max,,2.055580511541481
100.0,1e-05,1.0,13,test,absolute_delta_mean,,0.07611542702355423
100.0,1e-05,1.0,13,test,absolute_delta_std,,0.057244457241008316
100.0,1e-05,1.0,13,test,absolute_delta_min,,2.7953647077083588e-06
100.0,1e-05,1.0,13,test,absolute_delta_max,,0.434451911598444
100.0,1e-05,1.0,13,test,original_norm_mean,,0.44208744484978685
100.0,1e-05,1.0,13,test,original_norm_std,,0.07041193634569161
100.0,1e-05,1.0,13,test,original_norm_min,,0.33330873483128737
100.0,1e-05,1.0,13,test,original_norm_max,,0.8765038329515334
100.0,1e-05,1.0,13,test,private_norm_mean,,1.918395459325397
100.0,1e-05,1.0,13,test,private_norm_std,,0.07178827286857313
100.0,1e-05,1.0,13,test,private_norm_min,,1.7516240054769245
100.0,1e-05,1.0,13,test,private_norm_max,,2.1247527493721314
100.0,1e-05,1.0,13,test,relative_l2_distance_mean,,4.3043268261268155
100.0,1e-05,1.0,13,test,relative_l2_distance_std,,0.5784310528741958
100.0,1e-05,1.0,13,test,relative_l2_distance_min,,2.079855361401215
100.0,1e-05,1.0,13,test,relative_l2_distance_max,,5.902137657625845
100.0,1e-05,1.0,13,test,private_to_original_norm_ratio_mean,,4.422119819456315
100.0,1e-05,1.0,13,test,private_to_original_norm_ratio_std,,0.5672766714970037
100.0,1e-05,1.0,13,test,private_to_original_norm_ratio_min,,2.3259859815758466
100.0,1e-05,1.0,13,test,private_to_original_norm_ratio_max,,5.96849375255564
100.0,1e-05,1.0,13,test,neighbor_overlap,5,0.0619718309859155
100.0,1e-05,1.0,13,test,neighbor_overlap,10,0.10422535211267604
100.0,1e-05,1.0,13,test,neighbor_overlap,20,0.1767605633802817
1000.0,1e-05,1.0,13,train,cosine_mean,,0.5222435378195578
1000.0,1e-05,1.0,13,train,cosine_std,,0.05787364878998907
1000.0,1e-05,1.0,13,train,cosine_min,,0.3971487026595846
1000.0,1e-05,1.0,13,train,cosine_max,,0.6792907767111658
1000.0,1e-05,1.0,13,train,l2_distance_mean,,0.7110579032422355
1000.0,1e-05,1.0,13,train,l2_distance_std,,0.024819776956576545
1000.0,1e-05,1.0,13,train,l2_distance_min,,0.6369009848379575
1000.0,1e-05,1.0,13,train,l2_distance_max,,0.7759794179957176
1000.0,1e-05,1.0,13,train,absolute_delta_mean,,0.028968314319750135
1000.0,1e-05,1.0,13,train,absolute_delta_std,,0.021888726707053156
1000.0,1e-05,1.0,13,train,absolute_delta_min,,1.821666955947876e-06
1000.0,1e-05,1.0,13,train,absolute_delta_max,,0.15774176828563213
1000.0,1e-05,1.0,13,train,original_norm_mean,,0.43547167974391526
1000.0,1e-05,1.0,13,train,original_norm_std,,0.05032881173774303
1000.0,1e-05,1.0,13,train,original_norm_min,,0.3358296564388482
1000.0,1e-05,1.0,13,train,original_norm_max,,0.608395872683312
1000.0,1e-05,1.0,13,train,private_norm_mean,,0.8367392850866456
1000.0,1e-05,1.0,13,train,private_norm_std,,0.04167942073139806
1000.0,1e-05,1.0,13,train,private_norm_min,,0.7421460876744779
1000.0,1e-05,1.0,13,train,private_norm_max,,0.9719598517103081
1000.0,1e-05,1.0,13,train,relative_l2_distance_mean,,1.653964040001878
1000.0,1e-05,1.0,13,train,relative_l2_distance_std,,0.1947176977991219
1000.0,1e-05,1.0,13,train,relative_l2_distance_min,,1.1666578946465413
1000.0,1e-05,1.0,13,train,relative_l2_distance_max,,2.279312975207739
1000.0,1e-05,1.0,13,train,private_to_original_norm_ratio_mean,,1.938568979754741
1000.0,1e-05,1.0,13,train,private_to_original_norm_ratio_std,,0.16488479018303095
1000.0,1e-05,1.0,13,train,private_to_original_norm_ratio_min,,1.5862233003676718
1000.0,1e-05,1.0,13,train,private_to_original_norm_ratio_max,,2.4835318723996367
1000.0,1e-05,1.0,13,train,neighbor_overlap,5,0.21052631578947367
1000.0,1e-05,1.0,13,train,neighbor_overlap,10,0.2625
1000.0,1e-05,1.0,13,train,neighbor_overlap,20,0.34868421052631576
1000.0,1e-05,1.0,13,test,cosine_mean,,0.5259469038225765
1000.0,1e-05,1.0,13,test,cosine_std,,0.06180008520700621
1000.0,1e-05,1.0,13,test,cosine_min,,0.384359025357965
1000.0,1e-05,1.0,13,test,cosine_max,,0.7892837180403846
1000.0,1e-05,1.0,13,test,l2_distance_mean,,0.7089967347327942
1000.0,1e-05,1.0,13,test,l2_distance_std,,0.024578271732339077
1000.0,1e-05,1.0,13,test,l2_distance_min,,0.6466038061762662
1000.0,1e-05,1.0,13,test,l2_distance_max,,0.781373421439785
1000.0,1e-05,1.0,13,test,absolute_delta_mean,,0.028933224021398914
1000.0,1e-05,1.0,13,test,absolute_delta_std,,0.021759934490658158
1000.0,1e-05,1.0,13,test,absolute_delta_min,,1.062639057636261e-06
1000.0,1e-05,1.0,13,test,absolute_delta_max,,0.1651451624929905
1000.0,1e-05,1.0,13,test,original_norm_mean,,0.44208744484978685
1000.0,1e-05,1.0,13,test,original_norm_std,,0.07041193634569161
1000.0,1e-05,1.0,13,test,original_norm_min,,0.33330873483128737
1000.0,1e-05,1.0,13,test,original_norm_max,,0.8765038329515334
1000.0,1e-05,1.0,13,test,private_norm_mean,,0.8377038556747757
1000.0,1e-05,1.0,13,test,private_norm_std,,0.051624328066747
1000.0,1e-05,1.0,13,test,private_norm_min,,0.7486110689777914
1000.0,1e-05,1.0,13,test,private_norm_max,,1.1283218585056471
1000.0,1e-05,1.0,13,test,relative_l2_distance_mean,,1.636173601046569
1000.0,1e-05,1.0,13,test,relative_l2_distance_std,,0.21987494323249399
1000.0,1e-05,1.0,13,test,relative_l2_distance_min,,0.7906008448201159
1000.0,1e-05,1.0,13,test,relative_l2_distance_max,,2.2435382343713215
1000.0,1e-05,1.0,13,test,private_to_original_norm_ratio_mean,,1.921907599890211
1000.0,1e-05,1.0,13,test,private_to_original_norm_ratio_std,,0.19347670035250578
1000.0,1e-05,1.0,13,test,private_to_original_norm_ratio_min,,1.2872982593882598
1000.0,1e-05,1.0,13,test,private_to_original_norm_ratio_max,,2.439827742326897
1000.0,1e-05,1.0,13,test,neighbor_overlap,5,0.20985915492957744
1000.0,1e-05,1.0,13,test,neighbor_overlap,10,0.26478873239436623
1000.0,1e-05,1.0,13,test,neighbor_overlap,20,0.36408450704225354
2.0,1e-05,1.0,13,train,cosine_mean,,0.015684558189134768
2.0,1e-05,1.0,13,train,cosine_std,,0.0500655192585798
2.0,1e-05,1.0,13,train,cosine_min,,-0.09441296687069957
2.0,1e-05,1.0,13,train,cosine_max,,0.12961858278226626
2.0,1e-05,1.0,13,train,l2_distance_mean,,39.184709194903256
2.0,1e-05,1.0,13,train,l2_distance_std,,1.3677588547492894
2.0,1e-05,1.0,13,train,l2_distance_min,,35.098097844861
2.0,1e-05,1.0,13,train,l2_distance_max,,42.76237960596743
2.0,1e-05,1.0,13,train,absolute_delta_mean,,1.5963748762570347
2.0,1e-05,1.0,13,train,absolute_delta_std,,1.2062356483221475
2.0,1e-05,1.0,13,train,absolute_delta_min,,0.00010039703920483589
2.0,1e-05,1.0,13,train,absolute_delta_max,,8.69277354888618
