task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
gender,random_forest,0.75,34,10496,male,male,1309
gender,hist_gradient_boosting,0.75,34,10496,female,female,1310
gender,hist_gradient_boosting,0.75,34,10496,female,male,427
gender,hist_gradient_boosting,0.75,34,10496,male,female,414
gender,hist_gradient_boosting,0.75,34,10496,male,male,1348
gender,xgboost,0.75,34,10496,female,female,1328
gender,xgboost,0.75,34,10496,female,male,409
gender,xgboost,0.75,34,10496,male,female,413
gender,xgboost,0.75,34,10496,male,male,1349
gender,mlp,0.75,34,10496,female,female,1332
gender,mlp,0.75,34,10496,female,male,405
gender,mlp,0.75,34,10496,male,female,374
gender,mlp,0.75,34,10496,male,male,1388
gender,logistic_regression,0.75,55,10496,female,female,1334
gender,logistic_regression,0.75,55,10496,female,male,403
gender,logistic_regression,0.75,55,10496,male,female,357
gender,logistic_regression,0.75,55,10496,male,male,1405
gender,random_forest,0.75,55,10496,female,female,1297
gender,random_forest,0.75,55,10496,female,male,440
gender,random_forest,0.75,55,10496,male,female,476
gender,random_forest,0.75,55,10496,male,male,1286
gender,hist_gradient_boosting,0.75,55,10496,female,female,1308
gender,hist_gradient_boosting,0.75,55,10496,female,male,429
gender,hist_gradient_boosting,0.75,55,10496,male,female,416
gender,hist_gradient_boosting,0.75,55,10496,male,male,1346
gender,xgboost,0.75,55,10496,female,female,1318
gender,xgboost,0.75,55,10496,female,male,419
gender,xgboost,0.75,55,10496,male,female,408
gender,xgboost,0.75,55,10496,male,male,1354
gender,mlp,0.75,55,10496,female,female,1334
gender,mlp,0.75,55,10496,female,male,403
gender,mlp,0.75,55,10496,male,female,377
gender,mlp,0.75,55,10496,male,male,1385
gender,logistic_regression,0.75,89,10496,female,female,1332
gender,logistic_regression,0.75,89,10496,female,male,405
gender,logistic_regression,0.75,89,10496,male,female,368
gender,logistic_regression,0.75,89,10496,male,male,1394
gender,random_forest,0.75,89,10496,female,female,1295
gender,random_forest,0.75,89,10496,female,male,442
gender,random_forest,0.75,89,10496,male,female,473
gender,random_forest,0.75,89,10496,male,male,1289
gender,hist_gradient_boosting,0.75,89,10496,female,female,1323
gender,hist_gradient_boosting,0.75,89,10496,female,male,414
gender,hist_gradient_boosting,0.75,89,10496,male,female,411
gender,hist_gradient_boosting,0.75,89,10496,male,male,1351
gender,xgboost,0.75,89,10496,female,female,1331
gender,xgboost,0.75,89,10496,female,male,406
gender,xgboost,0.75,89,10496,male,female,402
gender,xgboost,0.75,89,10496,male,male,1360
gender,mlp,0.75,89,10496,female,female,1290
gender,mlp,0.75,89,10496,female,male,447
gender,mlp,0.75,89,10496,male,female,329
gender,mlp,0.75,89,10496,male,male,1433
gender,logistic_regression,1.0,13,13995,female,female,1341
gender,logistic_regression,1.0,13,13995,female,male,396
gender,logistic_regression,1.0,13,13995,male,female,365
gender,logistic_regression,1.0,13,13995,male,male,1397
