task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
gender,hist_gradient_boosting,0.5,89,76,F,M,33
gender,hist_gradient_boosting,0.5,89,76,M,F,32
gender,hist_gradient_boosting,0.5,89,76,M,M,39
gender,mlp,0.5,89,76,F,F,49
gender,mlp,0.5,89,76,F,M,22
gender,mlp,0.5,89,76,M,F,55
gender,mlp,0.5,89,76,M,M,16
gender,logistic_regression,0.75,13,114,F,F,46
gender,logistic_regression,0.75,13,114,F,M,25
gender,logistic_regression,0.75,13,114,M,F,26
gender,logistic_regression,0.75,13,114,M,M,45
gender,random_forest,0.75,13,114,F,F,43
gender,random_forest,0.75,13,114,F,M,28
gender,random_forest,0.75,13,114,M,F,22
gender,random_forest,0.75,13,114,M,M,49
gender,hist_gradient_boosting,0.75,13,114,F,F,41
gender,hist_gradient_boosting,0.75,13,114,F,M,30
gender,hist_gradient_boosting,0.75,13,114,M,F,35
gender,hist_gradient_boosting,0.75,13,114,M,M,36
gender,mlp,0.75,13,114,F,F,54
gender,mlp,0.75,13,114,F,M,17
gender,mlp,0.75,13,114,M,F,51
gender,mlp,0.75,13,114,M,M,20
gender,logistic_regression,0.75,21,114,F,F,40
gender,logistic_regression,0.75,21,114,F,M,31
gender,logistic_regression,0.75,21,114,M,F,25
gender,logistic_regression,0.75,21,114,M,M,46
gender,random_forest,0.75,21,114,F,F,45
gender,random_forest,0.75,21,114,F,M,26
gender,random_forest,0.75,21,114,M,F,25
gender,random_forest,0.75,21,114,M,M,46
gender,hist_gradient_boosting,0.75,21,114,F,F,42
gender,hist_gradient_boosting,0.75,21,114,F,M,29
gender,hist_gradient_boosting,0.75,21,114,M,F,35
gender,hist_gradient_boosting,0.75,21,114,M,M,36
gender,mlp,0.75,21,114,F,F,65
gender,mlp,0.75,21,114,F,M,6
gender,mlp,0.75,21,114,M,F,55
gender,mlp,0.75,21,114,M,M,16
gender,logistic_regression,0.75,34,114,F,F,39
gender,logistic_regression,0.75,34,114,F,M,32
gender,logistic_regression,0.75,34,114,M,F,23
gender,logistic_regression,0.75,34,114,M,M,48
gender,random_forest,0.75,34,114,F,F,38
gender,random_forest,0.75,34,114,F,M,33
gender,random_forest,0.75,34,114,M,F,18
gender,random_forest,0.75,34,114,M,M,53
gender,hist_gradient_boosting,0.75,34,114,F,F,31
gender,hist_gradient_boosting,0.75,34,114,F,M,40
gender,hist_gradient_boosting,0.75,34,114,M,F,22
gender,hist_gradient_boosting,0.75,34,114,M,M,49
gender,mlp,0.75,34,114,F,F,22
gender,mlp,0.75,34,114,F,M,49
gender,mlp,0.75,34,114,M,F,13
gender,mlp,0.75,34,114,M,M,58
gender,logistic_regression,0.75,55,114,F,F,39
gender,logistic_regression,0.75,55,114,F,M,32
gender,logistic_regression,0.75,55,114,M,F,20
gender,logistic_regression,0.75,55,114,M,M,51
gender,random_forest,0.75,55,114,F,F,44
gender,random_forest,0.75,55,114,F,M,27
gender,random_forest,0.75,55,114,M,F,21
gender,random_forest,0.75,55,114,M,M,50
gender,hist_gradient_boosting,0.75,55,114,F,F,37
gender,hist_gradient_boosting,0.75,55,114,F,M,34
gender,hist_gradient_boosting,0.75,55,114,M,F,29
gender,hist_gradient_boosting,0.75,55,114,M,M,42
gender,mlp,0.75,55,114,F,F,50
gender,mlp,0.75,55,114,F,M,21
gender,mlp,0.75,55,114,M,F,39
gender,mlp,0.75,55,114,M,M,32
gender,logistic_regression,0.75,89,114,F,F,39
gender,logistic_regression,0.75,89,114,F,M,32
gender,logistic_regression,0.75,89,114,M,F,25
gender,logistic_regression,0.75,89,114,M,M,46
gender,random_forest,0.75,89,114,F,F,45
gender,random_forest,0.75,89,114,F,M,26
gender,random_forest,0.75,89,114,M,F,22
gender,random_forest,0.75,89,114,M,M,49
gender,hist_gradient_boosting,0.75,89,114,F,F,37
gender,hist_gradient_boosting,0.75,89,114,F,M,34
gender,hist_gradient_boosting,0.75,89,114,M,F,36
gender,hist_gradient_boosting,0.75,89,114,M,M,35
gender,mlp,0.75,89,114,F,F,46
gender,mlp,0.75,89,114,F,M,25
gender,mlp,0.75,89,114,M,F,49
gender,mlp,0.75,89,114,M,M,22
gender,logistic_regression,1.0,13,152,F,F,41
gender,logistic_regression,1.0,13,152,F,M,30
gender,logistic_regression,1.0,13,152,M,F,24
gender,logistic_regression,1.0,13,152,M,M,47
gender,random_forest,1.0,13,152,F,F,46
gender,random_forest,1.0,13,152,F,M,25
gender,random_forest,1.0,13,152,M,F,21
gender,random_forest,1.0,13,152,M,M,50
gender,hist_gradient_boosting,1.0,13,152,F,F,35
gender,hist_gradient_boosting,1.0,13,152,F,M,36
gender,hist_gradient_boosting,1.0,13,152,M,F,30
gender,hist_gradient_boosting,1.0,13,152,M,M,41
gender,mlp,1.0,13,152,F,F,50
gender,mlp,1.0,13,152,F,M,21
gender,mlp,1.0,13,152,M,F,59
gender,mlp,1.0,13,152,M,M,12
gender,logistic_regression,1.0,21,152,F,F,41
gender,logistic_regression,1.0,21,152,F,M,30
gender,logistic_regression,1.0,21,152,M,F,24
gender,logistic_regression,1.0,21,152,M,M,47
gender,random_forest,1.0,21,152,F,F,44
gender,random_forest,1.0,21,152,F,M,27
gender,random_forest,1.0,21,152,M,F,22
gender,random_forest,1.0,21,152,M,M,49
