task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
gender,hist_gradient_boosting,1.0,89,152,M,F,42
gender,hist_gradient_boosting,1.0,89,152,M,M,29
gender,xgboost,1.0,89,152,F,F,39
gender,xgboost,1.0,89,152,F,M,32
gender,xgboost,1.0,89,152,M,F,27
gender,xgboost,1.0,89,152,M,M,44
gender,mlp,1.0,89,152,F,F,45
gender,mlp,1.0,89,152,F,M,26
gender,mlp,1.0,89,152,M,F,38
gender,mlp,1.0,89,152,M,M,33
age,logistic_regression,0.1,13,16,18-24,18-24,29
age,logistic_regression,0.1,13,16,18-24,25-34,26
age,logistic_regression,0.1,13,16,18-24,35-49,1
age,logistic_regression,0.1,13,16,18-24,50-XX,0
age,logistic_regression,0.1,13,16,25-34,18-24,24
age,logistic_regression,0.1,13,16,25-34,25-34,33
age,logistic_regression,0.1,13,16,25-34,35-49,1
age,logistic_regression,0.1,13,16,25-34,50-XX,0
age,logistic_regression,0.1,13,16,35-49,18-24,13
age,logistic_regression,0.1,13,16,35-49,25-34,7
age,logistic_regression,0.1,13,16,35-49,35-49,0
age,logistic_regression,0.1,13,16,35-49,50-XX,0
age,logistic_regression,0.1,13,16,50-XX,18-24,3
age,logistic_regression,0.1,13,16,50-XX,25-34,5
age,logistic_regression,0.1,13,16,50-XX,35-49,0
age,logistic_regression,0.1,13,16,50-XX,50-XX,0
age,random_forest,0.1,13,16,18-24,18-24,33
age,random_forest,0.1,13,16,18-24,25-34,23
age,random_forest,0.1,13,16,18-24,35-49,0
age,random_forest,0.1,13,16,18-24,50-XX,0
age,random_forest,0.1,13,16,25-34,18-24,37
age,random_forest,0.1,13,16,25-34,25-34,21
age,random_forest,0.1,13,16,25-34,35-49,0
age,random_forest,0.1,13,16,25-34,50-XX,0
age,random_forest,0.1,13,16,35-49,18-24,11
age,random_forest,0.1,13,16,35-49,25-34,9
age,random_forest,0.1,13,16,35-49,35-49,0
age,random_forest,0.1,13,16,35-49,50-XX,0
age,random_forest,0.1,13,16,50-XX,18-24,7
age,random_forest,0.1,13,16,50-XX,25-34,1
age,random_forest,0.1,13,16,50-XX,35-49,0
age,random_forest,0.1,13,16,50-XX,50-XX,0
age,hist_gradient_boosting,0.1,13,16,18-24,18-24,56
age,hist_gradient_boosting,0.1,13,16,18-24,25-34,0
age,hist_gradient_boosting,0.1,13,16,18-24,35-49,0
age,hist_gradient_boosting,0.1,13,16,18-24,50-XX,0
age,hist_gradient_boosting,0.1,13,16,25-34,18-24,58
age,hist_gradient_boosting,0.1,13,16,25-34,25-34,0
age,hist_gradient_boosting,0.1,13,16,25-34,35-49,0
age,hist_gradient_boosting,0.1,13,16,25-34,50-XX,0
age,hist_gradient_boosting,0.1,13,16,35-49,18-24,20
age,hist_gradient_boosting,0.1,13,16,35-49,25-34,0
age,hist_gradient_boosting,0.1,13,16,35-49,35-49,0
age,hist_gradient_boosting,0.1,13,16,35-49,50-XX,0
age,hist_gradient_boosting,0.1,13,16,50-XX,18-24,8
age,hist_gradient_boosting,0.1,13,16,50-XX,25-34,0
age,hist_gradient_boosting,0.1,13,16,50-XX,35-49,0
age,hist_gradient_boosting,0.1,13,16,50-XX,50-XX,0
age,xgboost,0.1,13,16,18-24,18-24,24
age,xgboost,0.1,13,16,18-24,25-34,31
age,xgboost,0.1,13,16,18-24,35-49,1
age,xgboost,0.1,13,16,18-24,50-XX,0
age,xgboost,0.1,13,16,25-34,18-24,29
age,xgboost,0.1,13,16,25-34,25-34,29
age,xgboost,0.1,13,16,25-34,35-49,0
age,xgboost,0.1,13,16,25-34,50-XX,0
age,xgboost,0.1,13,16,35-49,18-24,11
age,xgboost,0.1,13,16,35-49,25-34,9
