privacy_mode,epsilon,delta,sensitivity,dp_seed,task,classifier,train_fraction,metric,mean,std,n,baseline_mean,privacy_gain_vs_baseline,relative_attack_reduction,chance_level,attack_advantage_over_chance
none,,,,,gender,hist_gradient_boosting,0.1,accuracy,0.5,0.0,5,0.5,0.0,0.0,nan,nan
none,,,,,gender,hist_gradient_boosting,0.1,balanced_accuracy,0.5,0.0,5,0.5,0.0,0.0,0.5,0.0
none,,,,,gender,hist_gradient_boosting,0.1,f1_macro,0.3333333333333333,0.0,5,0.3333333333333333,0.0,0.0,nan,nan
none,,,,,gender,hist_gradient_boosting,0.25,accuracy,0.5,0.0,5,0.5,0.0,0.0,nan,nan
none,,,,,gender,hist_gradient_boosting,0.25,balanced_accuracy,0.5,0.0,5,0.5,0.0,0.0,0.5,0.0
none,,,,,gender,hist_gradient_boosting,0.25,f1_macro,0.3333333333333333,0.0,5,0.3333333333333333,0.0,0.0,nan,nan
none,,,,,gender,hist_gradient_boosting,0.5,accuracy,0.6647887323943662,0.0476589417343342,5,0.6647887323943662,0.0,0.0,nan,nan
none,,,,,gender,hist_gradient_boosting,0.5,balanced_accuracy,0.6647887323943662,0.04765894173433411,5,0.6647887323943662,0.0,0.0,0.5,0.1647887323943662
none,,,,,gender,hist_gradient_boosting,0.5,f1_macro,0.6633138380953567,0.048333144512812586,5,0.6633138380953567,0.0,0.0,nan,nan
none,,,,,gender,hist_gradient_boosting,0.75,accuracy,0.7450704225352113,0.04237072945490515,5,0.7450704225352113,0.0,0.0,nan,nan
none,,,,,gender,hist_gradient_boosting,0.75,balanced_accuracy,0.7450704225352113,0.04237072945490515,5,0.7450704225352113,0.0,0.0,0.5,0.24507042253521127
none,,,,,gender,hist_gradient_boosting,0.75,f1_macro,0.7444563167784716,0.04229822278475007,5,0.7444563167784716,0.0,0.0,nan,nan
none,,,,,gender,hist_gradient_boosting,1.0,accuracy,0.7690140845070422,0.029627723898538908,5,0.7690140845070422,0.0,0.0,nan,nan
none,,,,,gender,hist_gradient_boosting,1.0,balanced_accuracy,0.7690140845070422,0.029627723898538908,5,0.7690140845070422,0.0,0.0,0.5,0.26901408450704223
none,,,,,gender,hist_gradient_boosting,1.0,f1_macro,0.7685450975807722,0.03006838623773025,5,0.7685450975807722,0.0,0.0,nan,nan
none,,,,,gender,logistic_regression,0.1,accuracy,0.652112676056338,0.06982137779124191,5,0.652112676056338,0.0,0.0,nan,nan
none,,,,,gender,logistic_regression,0.1,balanced_accuracy,0.652112676056338,0.06982137779124192,5,0.652112676056338,0.0,0.0,0.5,0.15211267605633805
none,,,,,gender,logistic_regression,0.1,f1_macro,0.6514272741589638,0.07017582849540649,5,0.6514272741589638,0.0,0.0,nan,nan
none,,,,,gender,logistic_regression,0.25,accuracy,0.7436619718309859,0.04580172546903973,5,0.7436619718309859,0.0,0.0,nan,nan
none,,,,,gender,logistic_regression,0.25,balanced_accuracy,0.7436619718309859,0.04580172546903974,5,0.7436619718309859,0.0,0.0,0.5,0.24366197183098592
none,,,,,gender,logistic_regression,0.25,f1_macro,0.7430680859823008,0.04576881447465605,5,0.7430680859823008,0.0,0.0,nan,nan
none,,,,,gender,logistic_regression,0.5,accuracy,0.7830985915492958,0.020771663667257245,5,0.7830985915492958,0.0,0.0,nan,nan
none,,,,,gender,logistic_regression,0.5,balanced_accuracy,0.7830985915492958,0.02077166366725723,5,0.7830985915492958,0.0,0.0,0.5,0.28309859154929584
none,,,,,gender,logistic_regression,0.5,f1_macro,0.782652177012108,0.02079388001867166,5,0.782652177012108,0.0,0.0,nan,nan
none,,,,,gender,logistic_regression,0.75,accuracy,0.8366197183098592,0.01526724182301322,5,0.8366197183098592,0.0,0.0,nan,nan
none,,,,,gender,logistic_regression,0.75,balanced_accuracy,0.8366197183098592,0.01526724182301322,5,0.8366197183098592,0.0,0.0,0.5,0.33661971830985915
none,,,,,gender,logistic_regression,0.75,f1_macro,0.8364291493378413,0.015110966342085603,5,0.8364291493378413,0.0,0.0,nan,nan
none,,,,,gender,logistic_regression,1.0,accuracy,0.852112676056338,0.0,5,0.852112676056338,0.0,0.0,nan,nan
none,,,,,gender,logistic_regression,1.0,balanced_accuracy,0.852112676056338,0.0,5,0.852112676056338,0.0,0.0,0.5,0.352112676056338
